,SKILL,JOB,INTERNSHIPS,JOBLABELS
0,TABLEAU POWERBI,DATA ANALYST,"DATA ANALYTICS, URBAN COMPANY",0
1,HTML CSS JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPMENT, IIT BOMBAY",3
2,MS-EXCEL TABLEAU,DATA ANALYST,"DATA ANALYTICS, CIMA ANALYTICA",0
3,ML AI DL,ML DEVELOPER,"MACHINE LEARNING, ALLIN CLUSIVE FOUNDATION",2
4,NODEJS DJANGO,WEB DEVELOPER,"WEB DEVELOPMENT, UNGEEK",3
5,AL NLP CNN ML,ML DEVELOPER,"NLP/ML DEVELOPMENT, NEHA YADAV",2
6,ML AI ,ML DEVELOPER,"MACHINE LEARNING, ENR CONSULTANCY SERVICE",2
7,JAVASCRIPT HTML,WEB DEVELOPER,"WEB DEVELOPMENT, ENR CONSULTANCY SERVICE",3
8,NODEJS MYSQL JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPMENT, FIN FLOCK SYSTEM PVT LTD",3
9,SQL TABLEAU,DATA ANALYST,"DATA ANALYTICS, MAP UP INDIA PVT LTD",0
10,SQL MS-EXCEL,DATA ANALYST,"DATA EXTRACTION, SOCIETY FOR HEALTH AND MEDICAL TECHNOLOGY",0
11,MYSQL JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPMENT, DSIGHT CONSULTANCY SERVICE PVT LTD",3
12,SQL POWERBI MS-EXCEL,DATA ANALYST,"DATA ANALYTICS, LEMNISK",0
13,TABLEAU MS-EXCEL,DATA ANALYST,"DATA ANALYTICS, PIXELO DIGITAL",0
14,TABLEAU POWERBI SQL,DATA ANALYST,"CONTENT ANALYSIS, CAREERVIVA",0
15,NODEJS DJANGO,WEB DEVELOPER,"BACKEND DEVELOPMENT, VEDETHIV TECHNOLOGIES ",3
16,HTML JAVASCRIPT CSS,WEB DEVELOPER,"WEB DEVELOPMENT, HPC SPHERE",3
17,AI ML DL,ML DEVELOPER,"DATA ANNOTATOR, KOIREADER TECHNOLOGIES",2
18,PYTHON DATASCIENCE R,DATA SCIENTIST,"DATA SCIENCE, DAILY BRIEF",1
19,POWERBI TABLEAU,DATA ANALYST,"DATA ANALYTICS, EMACHAT LUXE",0
20,CNN NLP AI,ML DEVELOPER,"DEEP LEARNING, BRAYNIX AI LLP",2
21,HTML CSS  ,WEB DEVELOPER,"WEB DEVELOPMENT, SURGEUP TECHNOLOGIES PVT LTD",3
22,POWERBI SQL,DATA ANALYST,"BUSINESS ANALYTICS, P2 IMPACT LEARNING EMPOWER PVT LTD",0
23,DATASCIENCE R ,DATA SCIENTIST,"DATA SCIENCE, LET THE DATA CONFESS",1
24,DATASCIENCE PYTHON R,DATA SCIENTIST,"DATA SCIENCE, FINSIGHT TECHNOLOGIES PVT LTD",1
25,DL AI ML,ML DEVELOPER,"MACHINE LEARNING, LEARNING WITH LEADERS",2
26,R DATASCIENCE,DATA SCIENTIST,"DATA SCIENCE, BLACK COFFER",1
27,R DATASCIENCE PYTHON,DATA SCIENTIST,"DATA SCIENCE, LOCOBUZZ",1
28,SQL TABLEAU POWERBI,DATA ANALYST,"DATA ANALYTICS, INSTROVALE TECHNOLOGIES",0
29,NLP CNN AI,ML DEVELOPER,"DEEP LEARNING, BAYES LABS",2
30,PYTHON R DATASCIENCE,DATA SCIENTIST,"DATA SCIENCE, KUBIT SOFTWARE LAB",1
31,MS-EXCEL POWERBI,DATA ANALYST,"DATA ANALYTICS, PRAKRITI TEXTILES",0
32,DATASCIENCE R PYTHON,DATA SCIENTIST,"DATA SCIENCE, PRAKRITI TEXTILES",1
33,R PYTHON DATASCIENCE,DATA SCIENTIST,"DATA SCIENCE, SOCIETY FOR HEALTH AND MEDICAL TECHNOLOGY",1
34,NODEJS MYSQL DJANGO,WEB DEVELOPER,"WEB DEVELOPMENT, ITFORMATION ORG",3
35,ML DL AI ,ML DEVELOPER,"CNN, CODE KARO YAARO",2
36,AI CNN NLP,ML DEVELOPER,"AI/MACHINE LEARNING, ACROSS THE GLOBE",2
37,CSS HTML JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPMENT, IRONLIST",3
38,MS-EXCEL POWERBI SQL,DATA ANALYST,"DATA ANNOTATION, LABELER BY TENSOR MATICS PVT LTD",0
39,DJANGO MYSQL NODEJS,WEB DEVELOPER,"WEB DEVELOPMENT, RESPONSIVE ROOT TECHNOLOGIES",3
40,SQL POWERBI TABLEAU,DATA ANALYST,"DATA ANALYTICS, FUTURE METRICS",0
41,JAVASCRIPT CSS HTML,WEB DEVELOPER,"DATA MINING, IGNIS TECH SOLUTION",3
42,MYSQL DJANGO NODEJS,WEB DEVELOPER,"PROGRESSIVE WEB DEVELOPMENT, INSTANT POST",3
43,POWERBI MS-EXCEL TABLEAU,DATA ANALYST,"DATA MANAGEMENT, SOCIETY FOR HEALTH AND MEDICAL MANAGEMENT",0
44,DL ML AI NLP,ML DEVELOPER,"MACHINE LEARNING, SPACEJOY.COM",2
45,AI NLP CNN,ML DEVELOPER,"ML RESEARCH, BLACK OFFER",2
46,SQL TABLEAU MS-EXCEL,DATA ANALYST,"BUSINESS ANALYTICS, ARTINICI ARTISONAL FOODS PVT LTD",0
47,NLP AI CNN ,ML DEVELOPER,"MENTORED MINDS DATA SCIENCE, CARSCAN",2
48,NODEJS MYSQL HTML,WEB DEVELOPER,"WEB DEVELOPMENT, MRARRAY",3
49,HTML NODEJS JAVASCRIPT,WEB DEVELOPER,"WEB DEVELOPMENT, SYNCWARE",3
50,ML AI NLP DL,ML DEVELOPER,"ML, EXAM-CARE",2
51,AI ML DL  CNN,ML DEVELOPER,"MACHINE LEARNING, PLANALYTIX EDUTECH PVT LTD",2
52,JAVACSCRIPT NODEJS MYSQL,WEB DEVELOPER,"WEB DEVELOPMENT, POINTER DIGITECH PVT LTD",3
53,MS-EXCEL SQL POWERBI,DATA ANALYST,"DATA ANALYTICS, BLEND360",0
54,PYTHON R DATASCIENCE,DATA SCIENTIST,"DATA SCIENCE, AR QUNATICS",1
55,NLP AI ML CNN,ML DEVELOPER,"RESEARCH AI/ML DEVELOPMENT, FACTIVE MINDS CONSULTING PVT LTD",2
56,NODEJS MYSQL HTML,WEB DEVELOPER,"WEB DEVELOPMENT, FULCURM RESOURCES PVT LTD",3
57,AI ML CNN NLP,ML DEVELOPER,"MACHINE LEARNING, KUKBIT SOFTWARE LAB",2
58,POWERBI TABLEAU SQL,DATA ANALYST,"DATA ANALYTICS, NEMESIS CONSULTANT LLP",0
59,DATASCIENCE R PYTHON ,DATA SCIENTIST,"DATA SCIENCE, EXPAND AI",1
60,PYTHON R DATASCIENCE,DATA SCIENTIST,"DATA SCIENCE, REDCARPETUP",1
61,CSS HTML DJANGO,WEB DEVELOPER,"WEB DEVELOPMENT, MDIT",3
62,ML NLP CNN AI,ML DEVELOPER,"MACHINE LEARNING, 3ME",2
63,SQL POWERBI TABLEAU,DATA ANALYST,"FINANCIAL ANALYSIS, INCUBR",0
64,TABLEAU SQL,DATA ANALYST,"DATA ANALYTICS, REAL TIME DATA SERVICES",0
65,DATASCIENCE R ,DATA SCIENTIST,"DATA SCIENCE, INTELLECT",1
66,AI ML DL,ML DEVELOPER,"MACHINE LEARNING, NEOLEN",2
67,ML AI DL,ML DEVELOPER,"MACHINE LEARNING, CODE WRESTLING",2
68,SQL TABLEAU POWERBI,DATA ANALYST,"DATA ANALYTICS, NEMESIS CONSULTANT LLP",0
69,DATASCIENCE PYTHON R,DATA SCIENTIST,"DATA SCIENCE, EMPLIANCE INFORMATION SERVICE INDIA LLP",1
70,MYSQL NODEJS DJANGO,WEB DEVELOPER,"WEB DEVELOPMENT, IDEAL VILLAGE",3
71,SQL MS-EXCEL TABLEAU,DATA ANALYST,"DATA ANALYSIS, SUBSTRACTAL SOLUTIONS PVT LTD ",0
72,AI CNN ML DL,ML DEVELOPER,"MACHINE LEARNING, THE CRAFTY TALK",2
73,R,DATA SCIENTIST,"DATA SCIENCE,EXA MOBILITY INDIA PVT LTD",1
74,PYTHON,DATA SCIENTIST,"DATA SCIENCE, ONEASSIST CONSUMER SOLUTIONS PVT LTD",1
75,DATASCIENCE  ,DATA SCIENTIST,"DATA SCIENCE,KREDX",1
76,TABLEAU  ,DATA ANALYST,"DATA ANALYTICS, NOISY LION",0
77,SQL,DATA ANALYST,"DATA ANALYTICS, COCOON HOSPITAL",0
